word,frequency
disagreeable,12
investing,1
either,60
cheap,2
don,1
juanish,1
attractiveness,1
disgusting,2
rascality,1
tints,1
dismissed,4
seemed,66
heroes,1
competitor,1
henry,1
tilney,1
whose,60
slight,21
simple,2
enters,1
urged,7
expression,23
yielding,4
falling,4
extremely,15
probable,14
again,168
objectors,1
pampered,1
rational,11
sufficient,5
psychologically,1
speaking,32
causa,1
verior,1
restoration,4
healthy,2
conditions,3
shock,3
scornful,1
refusal,8
acting,4
ex,1
hypothesi,1
generous,12
finer,6
delicately,1
change,25
demeanour,1
meeting,23
grounds,5
pemberley,50
bad,15
prig,1
coxcomb,1
smarting,1
under,34
rejection,3
suspicious,2
come,90
husbandhunting,1
neither,38
consistent,4
spoilt,2
injured,5
thoroughly,3
exposition,1
causes,6
phenomenon,1
unregenerate,1
state,19
counted,2
due,11
charm,9
secret,5
few,72
downwards,1
charms,5
explained,9
belongs,2
allegro,1
allegra,1
division,1
army,3
venus,1
provokingly,1
chary,1
description,8
regard,48
hint,13
bright,2
complexion,8
tall,9
hear,68
looks,13
chief,17
heroines,3
lively,16
type,2
lie,2
cleveralmost,1
strongminded,1
objectionable,4
wordand,1
secondly,4
entirely,27
destitute,2
illnature,2
propensity,2
tease,3
sharpness,1
tongue,4
gets,2
attacked,2
“scratches”,1
attacks,4
merest,1
obsoletenesses,1
phrase,1
manner,90
speeches,4
pertness,1
comes,17
serious,25
proposal,11
scene,17
climax,1
final,3
ladies’,1
battle,1
unexceptionable,1
disguise,4
resents,1
illmannered,1
personality,1
feeling,34
illmanners,1
overdone,1
unjust,4
expressed,26
stiltedly,1
coarsely,1
heard,87
ballroom,3
during,28
year,28
ought,44
bred,2
lets,1
injury,2
done,86
contempt,13
family,146
aggravate,1
resentment,18
healthiest,1
explain,7
taking,19
beauty,27
form,15
consist,1
addition,9
playfulness,3
wit,6
affectionate,20
fearlessness,1
uncommon,5
age,13
speechless,1
awe,4
magnificent,1
palpitated,1
fluttered,2
idea,51
proposals,10
naughty,1
ones,6
fascinating,1
offensive,3
viraginous,1
“new,1
woman”,7
modern,3
“new”,1
education,10
experience,3
freedom,5
bully,1
choose,18
away,114
“impudent,1
grown”,1
mere,7
